Origin,Target,weight
ESRRB,NRIP1,1
ESRRB,THRA,1
RBPJ,FCRL5,1
JUN,RAC1,1
GTF3A,NME1,1
MYC,CCR5,1
MYC,NME1,1
TP53,MPO,1
WT1,MPO,1
SKIL,SMAD7,-1
RUNX2,GNAS,1
MAFB,GCG,1
CREM,CCL4,1
CREM,CISH,1
CREB1,CCL4,-1
TP53,GPX2,1
AR,CRH,-1
NFE2L2,SPARC,1
CREB1,PSENEN,1
E2F3,RB1,1
TP63,S100A2,1
TP73,S100A2,1
MSX1,PITX1,-1
SP3,MAPK8,1
JUN,MAP3K1,1
JUN,TERT,-1
SP1,MAP2K1,1
SP1,MAP3K1,1
SP3,MAP2K1,1
SP3,MAP3K1,1
GATA5,PGR,1
MYC,PUF60,1
RELA,MTDH,1
CEBPB,XDH,1
GATA4,HSPA5,1
EGR1,PSMB9,-1
EGR1,SGK1,1
CEBPG,MMP1,1
MITF,HGF,1
NCOA1,CYP3A4,1
CEBPA,KLK3,-1
ELK3,HMOX1,1
FOXC2,INS,1
FOXC2,SERPINE1,1
MTF1,HSPA1A,-1
CEBPB,MAP3K14,1
CEBPB,MAP4K4,1
CEBPB,SLC2A4,1
PPARG,MAP3K14,-1
PPARG,MAP4K4,-1
AEBP1,APOE,-1
AEBP1,CD36,-1
AEBP1,TNF,-1
NR1H3,CCL2,1
NR1H3,CD36,1
TP53,VDR,1
TP63,VDR,1
BHLHE40,BIRC5,1
SOX6,HBE1,-1
RARB,LAMB1,1
EGR1,SLC9A3,1
ELF1,LAT,1
HNF4A,FGF18,1
HNF4A,FGF20,1
NFKB1,GCA,1
PPARD,PNPLA2,1
IKZF1,GHRH,1
WT1,EPO,1
NR5A2,INSL3,1
HES5,HTR1A,-1
EGR1,PGK1,1
ETS1,CCN2,1
FLI1,CCN2,1
MYC,CXCL12,1
NR1H2,PTH,1
GATA4,BCL2,1
TP63,CKAP5,1
RELA,MYLK,1
NFKB1,MYLK,1
TP53,HPSE,1
AR,WNT1,1
HNF4A,WNT1,1
LEF1,AR,1
NFATC4,NOS2,1
RUNX2,PTGS2,1
NFE2L2,AKR1C2,1
SP1,TBK1,1
CTCF,HBA2,1
AR,PMAIP1,1
TP53,ADRA1D,1
TP53,PYHIN1,1
HNF4A,IL1B,1
SREBF1,VEGFA,-1
DNMT1,DNMT3B,1
MYC,GCLC,1
ESR1,HSP90AA1,1
JUN,HSP90AA1,1
NFKB1,CREBBP,1
NFKB1,HSP90AA1,1
RELA,HSP90AA1,1
NCOA2,TNF,1
ESR1,MAOB,1
ESR2,MAOB,1
ESRRA,MAOB,1
WT1,CSF3,1
ELF1,ENG,1
ERG,ENG,1
NR1H3,IFNG,1
FOS,FOSB,1
FOSB,FOS,-1
SIX1,EZR,1
MYC,AKT1,1
NFATC4,TNF,1
PPARG,PDX1,1
HNF1A,SLCO2B1,1
PATZ1,CD8A,-1
DNMT1,PLAUR,1
FOXO1,GCK,1
FOXO1,SREBF1,-1
NR1I3,CYP7A1,1
NR1I3,DR1,1
NR1I3,HNF4A,1
NCOA2,DR1,1
PPARA,TXN,1
PPARA,ACADM,1
AR,SARM1,1
VSX2,CARM1,1
VSX2,CREBBP,1
ZEB1,CCNG2,1
ZEB1,RBL2,1
RELA,HAMP,1
STAT1,FGF2,1
AR,GREB1,1
RELA,CARM1,1
ATF2,NOS3,-1
CREB1,NOS3,1
NFE2L2,FMR1,1
CREB1,FMR1,1
NFATC2,PLD1,1
DNMT1,WIF1,1
TP53,UBD,-1
MEF2A,BCO1,1
PPARG,BCO1,1
MEF2C,BCO1,1
PPARA,BCO1,1
HIF1A,IL1B,1
TBX6,MESP2,1
THRA,ANGPTL3,1
THRB,ANGPTL3,1
RARA,RARG,1
RARG,RARA,1
HIF1A,AVP,1
HIF1A,CISH,1
HIF1A,NPPB,1
CLOCK,CLOCK,1
MYC,BMAL1,1
MYC,CLOCK,1
TP53,MYO6,1
YBX3,CCND1,1
CUX1,CCNE2,1
VDR,FGF8,-1
VDR,KLK3,1
SNAI1,SNAI2,-1
SNAI2,SNAI2,1
SNAI2,SOX9,-1
SOX9,SNAI2,1
MEF2C,MAML1,1
EPAS1,POU5F1,-1
HIF1A,POU5F1,1
KMT2A,APC,1
KMT2A,BTRC,1
KMT2A,MYC,1
MYC,BTRC,1
ESR1,HSP90B1,1
ESR1,SNCA,1
PPARG,PPARGC1A,1
ELF1,ELF1,1
ELF1,NFKB1,1
ELF1,IL12B,1
ESR1,NFYA,1
ATF4,PLAT,1
ATF4,TH,1
CEBPG,TH,1
CREB1,TAC1,1
KCNIP3,NPFF,-1
PDX1,NPFF,1
POU1F1,NPFF,1
POU2F1,NPFF,1
NFE2L2,COX4I1,1
ETS1,NPR1,1
NFATC2,FOXP3,1
CDX1,CCL25,1
SP1,JAK3,1
ETS2,IL12B,1
KAT7,IL12B,1
SP1,IL12B,1
ELF1,IL10,1
TFAP2A,SLC1A2,1
TFAP2A,SLC1A3,1
TBX21,GATA3,1
AHR,INSM1,1
RARA,IL2,1
ZGLP1,PIK3R1,1
PDX1,REG3A,1
NEUROD1,REG3A,1
PDX1,NLRP2,1
ZFPM1,FCER1G,1
ZFPM1,SPG21,1
HNF4A,CES2,1
LHX1,HESX1,1
LHX3,HESX1,1
FOS,HLA-E,1
SCX,HLA-E,1
FOS,ACTB,1
MYOD1,PPARGC1A,1
AR,NRIP1,1
SP1,P2RX1,1
IRF1,XAF1,1
NR3C1,SGK1,1
TFAP2A,BCL2,-1
TFAP2A,APAF1,1
NKX3-1,TFAP2A,1
TFAP2A,IAPP,1
MBD2,CEBPA,-1
USF1,CEBPA,1
FOS,UPP1,1
AEBP1,FABP4,-1
AEBP1,TFAP2A,-1
XBP1,WFS1,1
YY1,BACE1,1
TBP,TFAP4,1
TFAP4,TFAP4,1
HNF4A,CYP2C19,1
HNF4A,CYP2B6,1
SNAI2,PRSS8,-1
SREBF2,PRSS8,1
HIF1A,BRCA1,1
FOS,AVP,1
JUN,AVP,1
NFE2L2,NQO2,1
KAT7,TNF,1
MAFF,OXTR,1
ESR1,GCLC,1
ESR2,AKT1,1
ESR2,GCLC,1
ESR2,GLRX,1
ZNF569,ETNK1,-1
NFE2L2,PIK3C3,1
NFE2L2,GSK3B,1
CUX1,RAC3,-1
NFKB2,RAC3,1
NFKB2,RELB,1
RELB,RAC3,1
RELB,RELB,1
AIRE,INS,1
NR1I2,CD36,1
PPARA,BMAL1,1
SNAI1,INS,-1
PPARG,TERT,-1
ETS1,TERT,1
NKX2-5,PITX2,1
TBX1,PITX2,-1
PITX2,TBX1,-1
GATA6,SEMA3C,1
TP53,ID1,1
TP53,ID2,1
TP53,FGFR1,1
NFIA,HSPA5,1
NFIC,HSPA5,1
MEF2A,SUMO1,1
KLF4,PSG5,1
OTX2,ASMT,1
NFIC,GFAP,1
SP1,EDF1,1
SP3,EDF1,1
NR5A1,CYP1B1,1
CREB1,CYP1B1,1
PPARA,PEX11A,1
ZEB2,VIM,1
DNMT1,CXCL12,1
STAT3,PTK6,1
CEBPB,OXTR,1
TP53,CCNA2,-1
SRY,WNT4,1
WT1,VEGFA,1
USF1,NPHS2,1
ESR1,CLIP1,1
PBX1,SI,1
RUNX2,SP7,1
SP7,RUNX2,1
SP7,SP7,1
VDR,TRPV6,1
RORB,OPN1SW,1
CRX,OPN1SW,1
SP4,KDR,1
ESR1,KDR,1
RUNX2,LEF1,1
LEF1,RUNX2,1
MYOD1,CHRNG,1
E2F1,CDCA7,1
E2F2,CDCA7,1
E2F4,CDCA7,1
HIVEP2,PPARG,1
SMAD1,PPARG,1
GRHL3,RB1,1
THRA,CTNNB1,1
E2F1,BMI1,1
ESR1,BMI1,1
TP63,FASN,-1
TP73,FASN,1
IRF2,KAT2B,1
IRF2,OGA,1
HNF4A,CSN2,1
HNF4A,SLC10A1,1
STAT5B,APOC3,1
EGR1,SELP,1
CEBPB,MYC,-1
MYC,IL4,1
CREB3L4,CREB3L4,1
CREM,CREB3L4,1
KLF5,BIRC5,1
NR4A1,ZNF461,1
ZNF461,SF1,-1
FOXA2,AHSG,1
TP53,EFNB3,1
MYC,MAPK1,1
DDIT3,BAK1,1
DLX4,VEGFA,1
PHF20,CIITA,1
PHF20,HLA-E,1
ZXDC,CIITA,1
ZXDC,HLA-E,1
HSF2,IL12A,1
JUN,IL12A,1
HOXD13,CYP1A1,1
STAT3,SLC25A5,1
EGR1,CFC1,1
HIF1A,CFC1,1
HIF1A,XIAP,1
MYC,CFC1,1
MYC,FLT1,1
TP53,MLIP,1
TP53,TUBB2A,1
HNF1A,LIPC,1
HNF4A,LIPC,1
NR2F2,LIPC,1
PITX2,LIPC,1
SP1,HAS2,-1
SP3,HAS2,1
FOXO1,AGRP,1
MNX1,MEN1,-1
NFIC,ADCYAP1,1
NFIC,CNTF,1
NR0B1,TH,-1
HES1,TLE1,1
ESR1,CCNG2,1
MBD2,HBG1,-1
NR3C1,ADIPOR2,1
PPARG,ADIPOR2,1
KLF6,TGFB1,-1
PPARG,TGFB1,-1
HIF1A,TGFB3,1
SCX,DAB1,1
ATF3,EIF2AK2,1
NFE2L2,BGLAP,-1
NCOA2,RARB,1
ETV5,SFTPC,1
RARA,AKT1,1
RARB,AKT1,1
ISL1,GNRHR,1
LHX3,GNRHR,1
LHX5,GNRHR,1
LHX9,GNRHR,1
SREBF1,PFKFB1,1
KLF12,ABCC3,1
KLF12,SLC14A2,1
KLF12,SCNN1A,1
CDX2,SLC15A1,1
POU2F1,PTPRC,1
TFAP2A,IL6,1
RELA,CXCL1,1
ESR1,BCAS3,1
SP1,TNNT2,1
SP3,TNNT2,-1
E2F1,DIABLO,1
SNAI1,SNAI1,-1
ONECUT1,CCND1,1
TP53,CLTC,1
PAX5,FLT3,1
IRF3,NOTCH1,1
IRF3,TP63,1
TP63,HES1,1
SMAD3,MMP9,1
AR,CALM1,1
ZNF148,GHR,1
GATA6,WNT2,1
NR1I3,PPIG,1
PPARA,PDK4,1
SP1,EDNRB,1
BHLHE41,SDC1,-1
PRDM1,SDC1,-1
XBP1,SDC1,1
MYC,YBX2,1
MYCN,YBX2,1
FOXK2,IL2,1
NFATC1,VCAM1,1
NR0B1,EGF,-1
FOXA2,PPP1R3C,1
USF2,HAMP,1
AR,CYP7B1,-1
RUNX1,IL19,1
PAX2,NPHS1,-1
MEIS1,ZIC3,1
PBX1,ZIC3,1
FOS,CRH,1
ESR1,CALM1,1
XBP1,SLC30A5,1
OVOL1,MYC,-1
MYC,OVOL1,1
TP73,GAST,1
TP53,TFAP2C,1
BARX2,TIMP1,1
BARX2,TIMP3,1
ZBTB16,PBX1,-1
AR,SMC3,1
NR4A2,NRP1,1
E2F2,DIRAS3,-1
E2F3,DIRAS3,1
E2F5,DIRAS3,-1
NFAT5,AQP2,1
NFAT5,NFAT5,1
ATF2,IFNA1,1
ZGLP1,EGFR,1
FOXO1,FOXA2,1
FOXA2,FOXO1,1
ZGLP1,FOXA2,1
ATF3,ADIPOQ,-1
NFATC4,ADIPOQ,-1
NR3C1,CCND1,-1
MLX,PKLR,1
ESR1,MTA2,1
TP63,NFYA,1
SPIC,IL4,1
HOXA9,FLT3,1
MEIS1,FLT3,1
TFCP2,GATA1,1
ESR2,GCH1,1
MYB,VEGFA,1
STAT5A,ACOX1,1
PAX9,BMP4,1
ESR1,PRLR,1
ESR1,GTF2B,1
NCOA1,GTF2B,1
YBX1,EGFR,1
YBX1,ERBB2,1
SP1,XRCC1,1
MYOD1,P2RY4,1
TP53,P2RY4,1
TP73,P2RY4,1
LHX2,GJA1,1
ETS1,SPP1,1
FOXO1,GABRG2,-1
FOXO1,PPARG,-1
NR1H4,INS,1
NR1H4,SLC2A4,1
SALL1,SALL1,1
SIX1,SIX1,1
STAT5A,CD3E,1
STAT5A,CD44,1
STAT5A,CD69,1
STAT5A,IL2RA,1
STAT5A,TSPOAP1,1
HNF1A,ABCC2,1
SP1,PADI3,1
SP3,PADI3,1
SP3,PROS1,1
ESR1,UCN,1
ESR2,UCN,1
MYOD1,FGF1,1
YY1,AMELX,-1
TBPL1,MT-ATP6,1
AHR,CAD,1
ESR1,APP,1
ESR1,MT-ATP6,1
ESR1,NPY,1
ESR2,MT-ATP6,1
ZNF77,CDH1,-1
ZNF77,CDH2,-1
CREB1,CRYAA,1
PAX6,DICER1,1
JUN,PTEN,-1
RFX1,H1-6,1
FOXC1,DLL4,1
FOXC2,DLL4,1
HEY1,RBFOX2,1
HEY1,HEY1,1
ESR1,STIM1,1
JUN,STIM1,1
DMTF1,DSPP,1
RELA,FGF8,1
SP1,PODXL,1
ETS1,ITGA10,1
SOX9,ITGA10,1
TFAP2E,ITGA10,1
PGR,HLA-G,1
SOX10,CNTF,-1
PAX3,CNTF,1
POU1F1,CNTF,1
POU2F1,CNTF,1
POU3F1,CNTF,1
CEBPB,BPI,1
CEBPE,BPI,1
HNF4A,VEGFD,1
FOXO3,NOS2,1
FOXO3,ABCC8,1
DLX3,ESX1,1
ATF4,IGFBP1,1
CEBPB,RB1,1
ATF3,TLR4,-1
HIC1,FGFBP1,-1
JUND,NPPA,-1
FOXO3,IGFBP3,1
FOXO1,PRL,1
FOXO1,TIMP3,1
SP1,FLG,1
MBD1,MBD1,-1
SREBF2,LRP1,-1
TFAP2B,YEATS4,1
FOSB,MMP2,1
JUNB,MMP2,1
NR2E1,PTEN,-1
KLF6,CDH1,1
ELF1,PNPLA2,1
KAT7,HMOX1,1
TCF3,CDKN1C,1
KLF1,AHSP,1
ESR1,BGLAP,1
HSF1,SOCS3,1
TFAP2A,INSR,1
CREB1,NOX5,1
SALL1,FOXN1,1
SMAD4,CSF1,1
IRF8,CCL5,1
REL,CCL5,1
SPI1,CCL5,1
EGR2,CDKN1A,1
EGR2,CDKN1B,1
TBX21,CDKN1B,1
TBX21,EGR2,1
STAT3,DEPP1,1
STAT3,AGRP,1
SPI1,DEFA1B,1
SPI1,FGL2,1
STAT1,FGL2,1
NR0B1,CNOT2,-1
THRA,CNOT2,1
HNF4A,STMN2,1
SMAD3,TGFBR2,1
SMAD3,IFNG,1
SMAD4,IFNG,1
ZNF250,RPE65,-1
ZNF492,RPE65,-1
ATF2,PGLYRP2,1
SP1,PGLYRP2,1
SP1,CLDN4,1
NANOG,ZFP42,1
POU5F1,ZFP42,1
SOX2,ZFP42,1
ZFP42,ZFP42,1
TP53,PYCARD,1
ETS1,RHOC,1
CIC,ETV5,1
DUX4,ETV5,1
NFATC4,EGF,1
NFATC4,PTGS2,1
POU2F1,MUCL1,1
POU2F2,MUCL1,1
FOXL2,CYP2B6,1
CEBPD,BGLAP,1
CEBPG,NOBOX,1
CEBPD,NOBOX,1
RUNX2,NOBOX,1
SMAD3,INHA,1
TBPL2,POLI,1
RFX1,SLC1A1,1
SP1,MAOA,1
NR3C1,MAOA,1
MESP2,EPHA4,1
STAT3,DIO2,1
STAT5A,DIO2,1
TP53,NTRK1,1
TP53,AIFM1,1
JUN,PPARGC1A,-1
CREB1,HLA-DRA,1
GRHL1,CYP11A1,-1
ESR1,SLC5A5,1
FOS,TPSD1,1
SMAD3,TPSD1,1
SMAD4,TPSD1,1
ESR1,CLCA1,1
STAT3,BCL3,1
SP3,BAK1,1
SP1,COL11A2,1
SP3,COL11A2,1
SP7,COL11A2,1
CEBPB,TGFB1,1
SMAD3,CSRP2,1
PAX2,NAIP,1
ATF3,IRS1,-1
E2F4,RB1,-1
GABPA,RB1,1
MAFG,LITAF,1
ESR1,AMY2A,1
HNF1B,ALB,1
FOXA2,LCN8,1
AR,LCN8,1
PGR,MUC1,1
FLI1,DHX9,1
MAFK,CDKN1B,-1
RARA,FOLR2,1
SP1,FOLR2,1
ESR1,RETN,1
STAT5B,BCL2,1
HNF1A,SLCO1B3,1
E2F1,PURA,1
NR4A2,BGLAP,1
NR4A2,COL1A1,1
PREB,INS,1
PREB,UGT1A7,1
HES1,RB1,1
CEBPG,SLC2A4,1
CEBPA,SLC2A4,1
HOXA5,MLH1,1
SP1,PDK4,1
HOXD4,HOXD4,1
XBP1,DDIT3,1
MAFB,BRF1,1
TAL1,NFE2,1
TFCP2,NFKBIA,1
REST,TH,-1
HHEX,ESM1,1
SP1,S100A12,1
SP3,S100A12,1
NR4A2,SRGN,1
SMAD3,BCL2,-1
ATF1,MITF,1
ZNF354C,CYP19A1,-1
NEUROG2,ASCL1,-1
NR3C1,FASLG,-1
HNF4A,TNF,1
HNF4A,PSMD4,1
CEBPB,TAC1,1
FOXF1,GH2,1
FOXF2,GH2,1
PGR,PTGS2,-1
USF1,HOXB7,1
TAL1,NFKB1,-1
TP53,DUSP4,1
CRX,BTRC,1
MAFB,INS,1
HEY1,KDR,-1
MLXIP,LDHA,1
MLXIP,PFKFB3,1
TFCP2,UQCRC1,1
YY1,FASLG,-1
PPARA,ABCG2,1
PPARG,ABCG2,1
TCF12,PAX6,1
TCF12,TCF12,1
FOXP3,PTGS2,1
FOS,CD28,1
MBD2,SFN,-1
JUN,ERBB2,1
CEBPB,HCRT,1
USF2,RUNX2,1
SREBF1,SLC2A4,1
PAX3,TGFBR2,1
CREB1,ZNF268,1
SREBF2,ABCA7,1
CDX2,UGT2B7,1
HIF1A,PDC,1
SP1,KCNE1,1
TFAP2A,KCNE1,1
FOXD3,POU5F1,1
E2F6,BRD7,-1
SP1,BRD7,1
TP53,PIAS4,1
HNF1A,SLC22A8,1
HNF1B,SLC22A8,1
NFE2L2,GPX2,1
TBP,SGCA,1
JUN,MAPK14,1
NKX3-1,MCL1,1
NR1I3,MCL1,1
STAT3,NANOG,1
THRB,SLC26A5,1
THRA,KCNQ4,-1
ZBTB14,RPL32,1
NFE2L2,ABCC3,1
PAX3,DPYD,1
SP1,DPYD,1
SP3,DPYD,1
PPARD,ANGPTL3,-1
RUNX2,TGFBR1,1
DNMT1,CDC25C,1
DNMT1,CDK1,1
SP1,B3GAT3,1
TP53,B3GAT3,1
HNF4A,ACMSD,1
PPARA,ACMSD,-1
SP1,HSD17B2,1
SP3,HSD17B2,1
ESR1,FOXM1,1
FOXM1,ESR1,1
NEUROG3,GCG,1
ATF1,SLC22A8,1
CREB1,SLC22A8,1
BCL11B,IL2,1
SP1,PIK3R1,1
NKX2-5,ACTG2,1
CEBPG,SCD,1
SNAI1,EGFR,-1
SNAI1,HPGD,-1
ETS1,THY1,1
CREB1,CIITA,1
NR1H4,ATP8B1,1
SRF,CDKN1A,1
SRF,CDKN2B,1
RARA,MMP1,1
RARA,THRA,1
THRA,RARA,1
THRA,MMP1,-1
SOX10,GJC2,1
IRF5,IFNG,1
IRF5,IL12A,1
IRF7,IL12A,1
IRF3,IRF1,1
ATF2,CPS1,1
ZNF148,OAS1,1
ALX3,INS,1
RELA,CXCL14,1
NFATC1,NOS2,1
HIF1A,NAMPT,1
PPARA,ACOX1,1
JUN,VIM,1
CDX2,ATOH1,1
EGR1,TOPBP1,1
ONECUT2,SYTL4,-1
TP73,HAGH,1
TWIST1,TNF,1
RUNX1,RARB,1
NR4A1,TCL1A,1
E2F1,VEGFA,-1
FOS,SAR1B,1
STAT3,HAMP,1
STAT3,STMN1,1
SMAD3,FBLN5,1
ETS1,CXCR4,1
HIF1A,CXCR4,1
FOXL2,CGA,1
LHX3,FOXL2,1
LHX4,FOXL2,1
KCNIP3,CALCA,-1
STAT3,PROS1,1
STAT5A,NCAM2,1
GRHL3,ANGPT1,1
ZNF350,ANGPT1,-1
NANOG,DPPA4,1
NANOG,GJA1,1
NANOG,TDGF1,1
POU5F1,DPPA4,1
POU5F1,GJA1,1
POU5F1,TDGF1,1
SOX2,DPPA4,1
SOX2,TDGF1,1
HIF1A,BIRC5,1
TCF12,MYOG,1
HIF1A,F3,1
YBX1,ABCC1,1
CEBPB,SOD2,1
CEBPB,BAD,1
RELA,SOD2,1
HHEX,SLC5A5,1
NR3C1,NR0B1,1
NR0B1,NR3C1,-1
KLF4,ACTA2,1
SP1,ACTA2,1
SP1,ACTG2,1
SMAD3,ACTA2,1
EGR1,CLDN3,1
SNAI1,CLDN3,-1
CREB1,TPT1,1
ESR1,PRMT1,1
DNMT1,DLC1,1
RELA,ZEB1,1
HOXB7,FGF2,1
PBX1,ANGPT2,1
ZBTB16,ADAMTS7,1
ZBTB16,ANGPT2,1
ZBTB16,FGF2,-1
HNF4A,NUMB,1
HNF4A,NUMBL,1
TFAP2C,CDKN1A,-1
ZNF384,MMP13,1
NR1H3,UGT1A3,1
MEF2A,MMP10,1
HIF1A,MRGPRF,1
IKZF1,BCL2L1,-1
EGR2,IGFBP5,1
NCOA3,AKT1,1
BHLHE40,STAT1,-1
MYC,CHRNA3,1
MYC,ITGB1,-1
PITX1,POU1F1,1
POU1F1,EGF,1
NFATC2,ICOS,1
NFATC2,MAPK1,1
ZNF354C,BMP2,-1
GLI2,BMP2,1
TP53,CSNK2A2,1
NCOA1,CYP2C9,1
NCOA1,CYP2B6,1
ASCL1,HNMT,1
ASCL1,TXN,1
HIF1A,DLD,1
FOXO1,CYP7A1,-1
ESR1,MAPK12,1
FOXO1,MSTN,1
STAT5A,ACO1,1
SP1,ACO1,1
SP1,FXR2,1
CLOCK,PSEN2,1
STAT3,NOS3,-1
PDX1,CDK5,1
PPARG,TP53,1
DNMT1,CDH1,-1
DNMT1,JUP,1
SPIC,PREB,1
SPIC,SPI1,1
STAT5A,IL18R1,1
NFATC2,ACP5,1
HOXB1,HOXA1,1
HOXA1,HOXB1,1
TFAP2A,LPL,1
MAFA,SYTL4,1
FOS,SLC10A2,-1
NCOA1,APOC3,1
NCOA1,PPARGC1A,1
ATF2,TGFB3,1
CREB1,TGFB3,1
JUN,TGFB3,1
SMAD3,TGFB3,1
RUNX1,NCAM1,1
GATA3,TH,1
TCF3,NANOG,-1
ATF2,HBG1,1
TP53,GSDME,1
SPDEF,BIRC5,-1
TBX1,PTGDR,1
CEBPB,ICAM1,1
LEF1,SALL4,1
TCF7L2,SALL4,1
HES1,CDKN1C,-1
MYOD1,PIK3C3,1
SP1,ULBP1,1
SP3,ULBP1,1
TFAP2A,ULBP1,-1
EGR3,BDNF,1
EGR3,NTRK1,1
NR4A3,MSTN,-1
ZGPAT,HAMP,-1
SREBF1,SERPINE1,-1
NFKB2,SKP2,1
RELB,CHUK,1
RELB,SKP2,1
KAT7,ALAS2,1
CREB1,CYCS,1
OVOL1,GADD45A,-1
OVOL1,GADD45B,-1
OVOL1,LEMD3,-1
OVOL1,SGK1,-1
TP63,ITCH,1
LHX3,LHX3,1
MYB,ETS2,1
ETS2,MYB,1
STAT3,OSM,1
ESR1,ERBB4,1
WT1,BCL2L1,1
MYCN,CRABP2,1
AR,RCHY1,1
HES1,MAP2,-1
NEUROD1,MAP2,1
E2F1,NCOA3,1
ESRRG,DNASE1,1
PPARA,CCND1,-1
E2F1,YY1,-1
AHR,GUCY1A1,1
SOX17,TBATA,1
ESR1,MMP13,1
RXRA,LDLR,1
ESRRA,NRIP1,1
NFE2L2,SMARCA4,1
SNAI1,OCLN,-1
SNAI1,RAF1,-1
ZHX2,OCLN,-1
SNAI2,OCLN,-1
RUNX1,MAPK1,1
TP53,PKD1,1
STAT3,TIMP1,1
TP53,ZNF346,1
MYF5,WNT2,1
ZNF699,RASSF1,-1
TFE3,CD40LG,1
TFEB,CD40LG,1
DLX4,EIF4E,-1
NCOA3,CCNE1,1
ZNF217,CALCA,-1
ZNF217,HP,-1
JUNB,IGF2,1
PLAGL1,IGF2,1
NR1H3,ABL2,1
NR1H3,CD74,1
GATA3,DBH,1
ESR1,SAFB,1
TBP,BTK,1
TP53,CORO1B,1
TP53,RAB13,1
PPARA,TRIB3,1
CEBPB,TRIB3,1
STAT1,AGT,1
AR,VPS52,1
RXRA,FABP1,1
BCL11B,CDKN1C,1
NCOA2,AKT1,1
KMT2A,PCNA,1
KMT2B,PCNA,1
EOMES,IL21,1
PPARG,SOD1,1
SP1,CD55,1
SP1,TCF3,1
TCF3,SP1,1
EGR1,IL13,1
STAT1,IL13,1
AHR,SNAI2,1
JUN,HBB,1
PRDM2,IGF1,-1
CREB3,MET,1
HEY2,CDKN1B,1
NFKB1,BHMT,-1
RELA,BHMT,-1
NR6A1,TDGF1,-1
TFAP2B,ADIPOQ,-1
NFYA,ADIPOQ,1
HOXB2,IFNB1,1
POU5F1,LEFTY1,1
SOX2,LEFTY1,1
KLF4,LEFTY1,1
ARNT,HIF1A,1
HIF1A,ARNT,1
PPARA,MPO,1
NR1H3,MPO,1
NR1H4,FASN,1
STAT5B,SLC10A4,1
STAT3,REN,-1
STAT3,TYK2,-1
KLF4,SLC5A6,1
HIF1A,OCM2,1
HIF1A,TERT,1
JUN,KRT18,1
FOS,KRT18,1
HOXA11,ASXL3,-1
TP53,CES2,1
FLI1,PLD1,1
FLI1,PLD2,1
AR,PHB1,1
AR,ADRA1D,1
AR,GC,1
RUNX1,RUNX3,1
RUNX3,RUNX1,-1
INSM1,RGN,-1
NFIA,RGN,1
CTCF,AFM,1
SP3,AFM,1
MYOG,PIAS1,1
SKIL,CDKN1A,-1
SKIL,SERPINE1,-1
HBP1,RB1,-1
NR1D1,SERPINE1,-1
PAX6,CTNND2,1
FOS,ILK,1
FOXA1,CCND1,1
NFIC,CCND1,-1
HNF4A,GTF2B,1
ONECUT1,TBP,1
MYC,HNRNPUL1,1
ATF3,CCL4,-1
DNMT1,LDLR,1
PHOX2A,CDKN1B,1
RELB,BIRC3,1
PPARG,CD1D,1
RARA,CD1D,1
ATF3,CCNA2,-1
AR,ADORA1,1
AR,APP,1
EGR1,CHGB,1
SP1,CHGB,1
TFAP2A,CHGB,1
CREB1,CHGB,1
VSX2,CHGB,1
STAT1,BCL2L14,1
AHR,FST,1
ARX,GCG,1
SOX17,MBP,1
CEBPB,ATF3,1
RUNX1,SH3GL1,1
SP1,SH3GL1,1
HES1,DTX1,-1
TCF3,DTX1,1
NFKB2,CDKN1A,-1
RUNX1,GATA2,1
EGR1,GNAQ,1
SNAI2,CDH17,-1
ZEB2,CDH17,-1
HNF4A,ABCC6,1
NFE2,ABCC6,-1
PPARG,MC2R,1
NOBOX,POU5F1,1
NOBOX,GDF9,1
MITF,NPPB,1
NFIB,MBP,1
NR4A2,VIP,1
FOS,SLC26A3,1
JUN,SLC26A3,1
ATOH1,MUC2,1
FOXC1,FGF19,1
TP53,BAD,1
GLI3,MED12,1
RUNX1,LYZ,1
E2F4,BRCA1,-1
E2F4,RAD51,-1
TP53,CDC25A,-1
TP63,CDC25A,-1
TP73,CDC25A,-1
RARA,STMN1,1
STAT5B,INS-IGF2,1
THAP1,RRM1,1
NFAT5,KCNJ1,1
HNF4A,GLUL,1
MYC,ALB,-1
ZNF91,NTRK1,1
REST,NPPB,-1
ATF2,TIMP1,1
RELA,TIMP1,-1
ATF3,MAPK1,1
ZNF91,CAV1,1
PGR,CDKN1A,1
PGR,CDKN1B,1
FOXO1,CDKN1B,1
GATA1,CDKN1B,1
EBF3,CDKN1A,1
EPAS1,F7,1
TP53,ALOX5,1
TP53,LOX,1
FOXM1,BIRC5,-1
NR4A2,MAPK7,1
MEF2C,MYOCD,1
MEF2C,SRF,1
HNF1B,IL1B,1
HNF1B,GSTA1,-1
USF2,GATA4,1
HIF1A,CITED2,1
ISL1,HNF1A,1
ISL1,HNF4A,1
ARNT2,CYP1A1,1
SP1,SLC3A2,1
ESR1,CDKN2C,1
HIF1A,NBN,-1
PPARA,ABCA1,1
PPARG,ABCA1,1
EHF,HLA-DRB1,1
FOXP3,IFNG,-1
FOXP3,IL2,-1
FOXP3,CTLA4,1
FOXP3,TNFRSF18,1
DLX6,RASSF1,1
EMX2,RASSF1,1
HOXA9,RASSF1,1
HOXB5,RASSF1,1
NR6A1,DPEP1,1
MSX2,TAGLN,-1
PROP1,FSHB,1
PROP1,PROP1,1
